Template,mcp-typescript,cli,csharp,go,javav2,mockserver,php,postman,pythonv2,ruby,typescriptv2,unity,terraform
oauth2Password (Gold),:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:
responseFormat (Gold),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
sdkHooks (Gold),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
serverEvents (Gold),:no_entry:,:warning:,:warning:,:white_check_mark:,:warning:,:warning:,:no_entry:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
serverEventsSentinels (Gold),:no_entry:,:no_entry:,:warning:,:white_check_mark:,:warning:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:
stringNumberFormats (Gold),:white_check_mark:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
tests (Gold),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
webhookHandlers (Gold),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
cliCommands (Experimental),:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:
configurableModuleName (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:
contentMediaTypeApplicationJSON (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:
customCodeRegions (Experimental),:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:
customSecuritySchemes (Experimental),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
defaultArrays (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:
defaultEnabledRetries (Experimental),:white_check_mark:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
defaultObjects (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:
duration (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:
envVarGlobals (Experimental),:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
envVarSecurityUsage (Experimental),:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
examplesDirectory (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
flatRequests (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:
formatBinary (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:
intellisenseMarkdownSupport (Experimental),:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:heavy_minus_sign:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:
jsonlResponses (Experimental),:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:no_entry:
mcpServer (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
methodArguments (Experimental),:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
methodSignatures (Experimental),:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
